episode,reward_base,reward_eps
1,-19,-19
2,-30,-30
3,-8,-8
4,-19,-19
5,-8,-8
6,-19,-19
7,-19,-19
8,-19,-19
9,-30,-30
10,-8,-8
11,-30,-30
12,-8,-8
13,-19,-19
14,3,3
15,-30,-19
16,-8,-8
17,-30,-19
18,-19,-19
19,-19,-19
20,3,14
21,-19,-19
22,-19,-19
23,3,3
24,-8,-8
25,-30,-30
26,-30,-30
27,-30,-30
28,-8,-8
29,3,3
30,-30,-30
31,-19,-19
32,-8,-8
33,-19,-19
34,-8,-8
35,-30,-30
36,-8,-8
37,-8,-8
38,-19,-19
39,-19,-19
40,-19,-19
41,-19,-19
42,-30,-30
43,-8,-8
44,-19,-19
45,-19,-19
46,-8,-8
47,-30,-30
48,-30,-30
49,3,3
50,-30,-30
51,-8,-8
52,14,3
53,-8,-8
54,-8,-8
55,-19,-19
56,-8,-8
57,-8,-8
58,-19,-19
59,3,3
60,-8,-8
61,-8,-8
62,14,14
63,14,3
64,25,25
65,14,3
66,-8,-8
67,-8,-8
68,3,3
69,14,25
70,-8,-8
71,3,3
72,3,3
73,-8,-8
74,14,3
75,-8,-8
76,14,14
77,3,3
78,25,14
79,3,3
80,3,3
81,14,14
82,3,3
83,-19,-19
84,14,14
85,3,3
86,36,25
87,-19,-19
88,-30,-30
89,-19,-19
90,25,3
91,3,3
92,-19,-19
93,-8,-8
94,-8,-8
95,14,14
96,14,14
97,3,-8
98,-19,-19
99,3,3
100,-30,-30
101,-8,-8
102,-8,-8
103,25,25
104,36,25
105,14,14
106,3,3
107,3,3
108,25,14
109,36,25
110,36,36
111,69,47
112,36,25
113,47,36
114,-8,-8
115,14,14
116,3,3
117,14,14
118,47,36
119,-8,-8
120,36,36
121,47,36
122,-8,-8
123,-8,-8
124,-19,-19
125,14,14
126,47,36
127,-19,-19
128,58,47
129,25,25
130,3,3
131,3,14
132,25,36
133,-8,-8
134,14,14
135,25,25
136,14,14
137,36,25
138,-8,-8
139,25,14
140,3,3
141,-8,-8
142,36,25
143,-8,-8
144,36,36
145,36,25
146,14,14
147,69,47
148,3,3
149,3,3
150,3,3
151,-19,-19
152,-19,-19
153,-19,-19
154,-8,-8
155,3,-8
156,-19,-19
157,-30,-30
158,3,-8
159,3,-8
160,3,-8
161,-30,-30
162,-30,-30
163,-19,-19
164,3,3
165,-8,-8
166,-30,-30
167,-19,-19
168,14,14
169,3,3
170,-30,-30
171,-30,-30
172,-8,-19
173,-8,-8
174,-8,-8
175,3,3
176,-8,-8
177,3,3
178,14,14
179,14,14
180,-19,-19
181,-19,-19
182,-19,-19
183,-8,-8
184,-8,3
185,-8,-8
186,-8,-8
187,-30,-30
188,-19,-19
189,-30,-30
190,-19,-19
191,-19,-19
192,-19,-19
193,-19,-19
194,-30,-30
195,-19,-19
196,-19,-19
197,3,3
198,-8,-8
199,3,-8
200,-8,-8
